an3.1:0.3|Bhayasutta |an3.1
sn4.6:0.3|Sappasutta |sn4.6
sn4.7:0.3|Supatisutta |sn4.7
sn4.8:0.3|Nandatisutta |sn4.8
sn4.9:0.3|Paṭhamaāyusutta |sn4.9
sn4.10:0.3|Dutiyaāyusutta |sn4.10
sn4.11:0.3|Pāsāṇasutta |sn4.11
sn4.12:0.3|Kinnusīhasutta |sn4.12
sn4.13:0.3|Sakalikasutta |sn4.13
sn4.14:0.3|Patirūpasutta |sn4.14
sn4.15:0.3|Mānasasutta |sn4.15
sn4.16:0.3|Pattasutta |sn4.16
sn4.17:0.3|Chaphassāyatanasutta |sn4.17
sn4.18:0.3|Piṇḍasutta |sn4.18
sn4.19:0.3|Kassakasutta |sn4.19
sn4.20:0.3|Rajjasutta |sn4.20
sn4.21:0.3|Sambahulasutta |sn4.21
sn4.22:0.3|Samiddhisutta |sn4.22
sn4.23:0.3|Godhikasutta |sn4.23
sn4.24:0.3|Sattavassānubandhasutta |sn4.24
sn4.25:0.3|Māradhītusutta |sn4.25
sn5.1:0.3|Āḷavikāsutta |sn5.1
sn5.2:0.3|Somāsutta |sn5.2
sn5.3:0.3|Kisāgotamīsutta |sn5.3
sn5.4:0.3|Vijayāsutta |sn5.4
sn5.5:0.3|Uppalavaṇṇāsutta |sn5.5
sn5.6:0.3|Cālāsutta |sn5.6
sn5.7:0.3|Upacālāsutta |sn5.7
sn5.8:0.3|Sīsupacālāsutta |sn5.8
sn5.9:0.3|Selāsutta |sn5.9
sn5.10:0.3|Vajirāsutta |sn5.10
sn6.1:0.3|Brahmāyācanasutta |sn6.1
sn6.2:0.3|Gāravasutta |sn6.2
sn6.3:0.3|Brahmadevasutta |sn6.3
sn6.4:0.3|Bakabrahmasutta |sn6.4
sn6.5:0.3|Aññatarabrahmasutta |sn6.5
sn6.6:0.3|Brahmalokasutta |sn6.6
sn6.7:0.3|Kokālikasutta |sn6.7
sn6.8:0.3|Katamodakatissasutta |sn6.8
sn6.9:0.3|Turūbrahmasutta |sn6.9
sn6.10:0.3|Kokālikasutta |sn6.10
sn6.11:0.3|Sanaṅkumārasutta |sn6.11
sn6.12:0.3|Devadattasutta |sn6.12
sn6.13:0.3|Andhakavindasutta |sn6.13
sn6.14:0.3|Aruṇavatīsutta |sn6.14
sn6.15:0.3|Parinibbānasutta |sn6.15
sn7.1:0.3|Dhanañjānīsutta |sn7.1
sn7.2:0.3|Akkosasutta |sn7.2
sn7.3:0.3|Asurindakasutta |sn7.3
sn7.4:0.3|Bilaṅgikasutta |sn7.4
sn7.5:0.3|Ahiṁsakasutta |sn7.5
sn7.6:0.3|Jaṭāsutta |sn7.6
sn7.7:0.3|Suddhikasutta |sn7.7
sn7.8:0.3|Aggikasutta |sn7.8
sn7.9:0.3|Sundarikasutta |sn7.9
sn7.10:0.3|Bahudhītarasutta |sn7.10
sn7.11:0.3|Kasibhāradvājasutta |sn7.11
sn7.12:0.3|Udayasutta |sn7.12
sn7.13:0.3|Devahitasutta |sn7.13
sn7.14:0.3|Mahāsālasutta |sn7.14
sn7.15:0.3|Mānatthaddhasutta |sn7.15
sn7.16:0.3|Paccanīkasutta |sn7.16
sn7.17:0.3|Navakammikasutta |sn7.17
sn7.18:0.3|Kaṭṭhahārasutta |sn7.18
sn7.19:0.3|Mātuposakasutta |sn7.19
sn7.20:0.3|Bhikkhakasutta |sn7.20
sn7.21:0.3|Saṅgāravasutta |sn7.21
sn7.22:0.3|Khomadussasutta |sn7.22
sn8.1:0.3|Nikkhantasutta |sn8.1
sn8.2:0.3|Aratīsutta |sn8.2
sn8.3:0.3|Pesalasutta |sn8.3
sn8.4:0.3|Ānandasutta |sn8.4
sn8.5:0.3|Subhāsitasutta |sn8.5
sn8.6:0.3|Sāriputtasutta |sn8.6
sn8.7:0.3|Pavāraṇāsutta |sn8.7
sn8.8:0.3|Parosahassasutta |sn8.8
sn8.9:0.3|Koṇḍaññasutta |sn8.9
sn8.10:0.3|Moggallānasutta |sn8.10
sn8.11:0.3|Gaggarāsutta |sn8.11
sn8.12:0.3|Vaṅgīsasutta |sn8.12
sn9.1:0.3|Vivekasutta |sn9.1
sn9.2:0.3|Upaṭṭhānasutta |sn9.2
sn9.3:0.3|Kassapagottasutta |sn9.3
sn9.4:0.3|Sambahulasutta |sn9.4
sn9.5:0.3|Ānandasutta |sn9.5
sn9.6:0.3|Anuruddhasutta |sn9.6
sn9.7:0.3|Nāgadattasutta |sn9.7
sn9.8:0.3|Kulagharaṇīsutta |sn9.8
sn9.9:0.3|Vajjiputtasutta |sn9.9
sn9.10:0.3|Sajjhāyasutta |sn9.10
sn9.11:0.3|Akusalavitakkasutta |sn9.11
sn9.12:0.3|Majjhanhikasutta |sn9.12
sn9.13:0.3|Pākatindriyasutta |sn9.13
sn9.14:0.3|Gandhatthenasutta |sn9.14
sn10.1:0.3|Indakasutta |sn10.1
sn10.2:0.3|Sakkanāmasutta |sn10.2
sn10.3:0.3|Sūcilomasutta |sn10.3
sn10.4:0.3|Maṇibhaddasutta |sn10.4
sn10.5:0.3|Sānusutta |sn10.5
sn10.6:0.3|Piyaṅkarasutta |sn10.6
sn10.7:0.3|Punabbasusutta |sn10.7
sn10.8:0.3|Sudattasutta |sn10.8
sn10.9:0.3|Paṭhamasukkāsutta |sn10.9
sn10.10:0.3|Dutiyasukkāsutta |sn10.10
sn10.11:0.3|Cīrāsutta |sn10.11
sn10.12:0.3|Āḷavakasutta |sn10.12
sn11.1:0.3|Suvīrasutta |sn11.1
sn11.2:0.3|Susīmasutta |sn11.2
sn11.3:0.3|Dhajaggasutta |sn11.3
sn11.4:0.3|Vepacittisutta |sn11.4
sn11.5:0.3|Subhāsitajayasutta |sn11.5
sn11.6:0.3|Kulāvakasutta |sn11.6
sn11.7:0.3|Nadubbhiyasutta |sn11.7
sn11.8:0.3|Verocanaasurindasutta |sn11.8
sn11.9:0.3|Araññāyatanaisisutta |sn11.9
sn11.10:0.3|Samuddakasutta |sn11.10
sn11.11:0.3|Vatapadasutta |sn11.11
sn11.12:0.3|Sakkanāmasutta |sn11.12
sn11.13:0.3|Mahālisutta |sn11.13
sn11.14:0.3|Daliddasutta |sn11.14
sn11.15:0.3|Rāmaṇeyyakasutta |sn11.15
sn11.16:0.3|Yajamānasutta |sn11.16
sn11.17:0.3|Buddhavandanāsutta |sn11.17
sn11.18:0.3|Gahaṭṭhavandanāsutta |sn11.18
sn11.19:0.3|Satthāravandanāsutta |sn11.19
sn11.20:0.3|Saṅghavandanāsutta |sn11.20
sn11.21:0.3|Chetvāsutta |sn11.21
sn11.22:0.3|Dubbaṇṇiyasutta |sn11.22
sn11.23:0.3|Sambarimāyāsutta |sn11.23
sn11.24:0.3|Accayasutta |sn11.24
sn11.25:0.3|Akkodhasutta |sn11.25
sn12.1:0.3|Paṭiccasamuppādasutta |sn12.1
sn12.2:0.3|Vibhaṅgasutta |sn12.2
sn12.3:0.3|Paṭipadāsutta |sn12.3
sn12.4:0.3|Vipassīsutta |sn12.4
sn12.5:0.3|Sikhīsutta |sn12.5
sn12.6:0.3|Vessabhūsutta |sn12.6
sn12.7:0.3|Kakusandhasutta |sn12.7
sn12.8:0.3|Koṇāgamanasutta |sn12.8
sn12.9:0.3|Kassapasutta |sn12.9
sn12.10:0.3|Gotamasutta |sn12.10
sn12.11:0.3|Āhārasutta |sn12.11
sn12.12:0.3|Moḷiyaphaggunasutta |sn12.12
sn12.13:0.3|Samaṇabrāhmaṇasutta |sn12.13
sn12.14:0.3|Dutiyasamaṇabrāhmaṇasutta |sn12.14
sn12.15:0.3|Kaccānagottasutta |sn12.15
sn12.16:0.3|Dhammakathikasutta |sn12.16
sn12.17:0.3|Acelakassapasutta |sn12.17
sn12.18:0.3|Timbarukasutta |sn12.18
sn12.19:0.3|Bālapaṇḍitasutta |sn12.19
sn12.20:0.3|Paccayasutta |sn12.20
sn12.21:0.3|Dasabalasutta |sn12.21
sn12.22:0.3|Dutiyadasabalasutta |sn12.22
sn12.23:0.3|Upanisasutta |sn12.23
sn12.24:0.3|Aññatitthiyasutta |sn12.24
sn12.25:0.3|Bhūmijasutta |sn12.25
sn12.26:0.3|Upavāṇasutta |sn12.26
sn12.27:0.3|Paccayasutta |sn12.27
sn12.28:0.3|Bhikkhusutta |sn12.28
sn12.29:0.3|Samaṇabrāhmaṇasutta |sn12.29
sn12.30:0.3|Dutiyasamaṇabrāhmaṇasutta |sn12.30
sn12.31:0.3|Bhūtasutta |sn12.31
sn12.32:0.3|Kaḷārasutta |sn12.32
sn12.33:0.3|Ñāṇavatthusutta |sn12.33
sn12.34:0.3|Dutiyañāṇavatthusutta |sn12.34
sn12.35:0.3|Avijjāpaccayasutta |sn12.35
sn12.36:0.3|Dutiyaavijjāpaccayasutta |sn12.36
sn12.37:0.3|Natumhasutta |sn12.37
sn12.38:0.3|Cetanāsutta |sn12.38
sn12.39:0.3|Dutiyacetanāsutta |sn12.39
sn12.40:0.3|Tatiyacetanāsutta |sn12.40
sn12.41:0.3|Pañcaverabhayasutta |sn12.41
sn12.42:0.3|Dutiyapañcaverabhayasutta |sn12.42
sn12.43:0.3|Dukkhasutta |sn12.43
sn12.44:0.3|Lokasutta |sn12.44
sn12.45:0.3|Ñātikasutta |sn12.45
sn12.46:0.3|Aññatarabrāhmaṇasutta |sn12.46
sn12.47:0.3|Jāṇussoṇisutta |sn12.47
sn12.48:0.3|Lokāyatikasutta |sn12.48
sn12.49:0.3|Ariyasāvakasutta |sn12.49
sn12.50:0.3|Dutiyaariyasāvakasutta |sn12.50
sn12.51:0.3|Parivīmaṁsanasutta |sn12.51
sn12.52:0.3|Upādānasutta |sn12.52
sn12.53:0.3|Saṁyojanasutta |sn12.53
sn12.54:0.3|Dutiyasaṁyojanasutta |sn12.54
sn12.55:0.3|Mahārukkhasutta |sn12.55
sn12.56:0.3|Dutiyamahārukkhasutta |sn12.56
sn12.57:0.3|Taruṇarukkhasutta |sn12.57
sn12.58:0.3|Nāmarūpasutta |sn12.58
sn12.59:0.3|Viññāṇasutta |sn12.59
sn12.60:0.3|Nidānasutta |sn12.60
sn12.61:0.3|Assutavāsutta |sn12.61
sn12.62:0.3|Dutiyaassutavāsutta |sn12.62
sn12.63:0.3|Puttamaṁsasutta |sn12.63
sn12.64:0.3|Atthirāgasutta |sn12.64
sn12.65:0.3|Nagarasutta |sn12.65
sn12.66:0.3|Sammasasutta |sn12.66
sn12.67:0.3|Naḷakalāpīsutta |sn12.67
sn12.68:0.3|Kosambisutta |sn12.68
sn12.69:0.3|Upayantisutta |sn12.69
sn12.70:0.3|Susimaparibbājakasutta |sn12.70
sn12.71:0.3|Jarāmaraṇasutta |sn12.71
sn12.82:0.3|Satthusutta |sn12.82
sn13.1:0.3|Nakhasikhāsutta |sn13.1
sn13.2:0.3|Pokkharaṇīsutta |sn13.2
sn13.3:0.3|Sambhejjaudakasutta |sn13.3
sn13.4:0.3|Dutiyasambhejjaudakasutta |sn13.4
sn13.5:0.3|Pathavīsutta |sn13.5
sn13.6:0.3|Dutiyapathavīsutta |sn13.6
sn13.7:0.3|Samuddasutta |sn13.7
sn13.8:0.3|Dutiyasamuddasutta |sn13.8
sn13.9:0.3|Pabbatasutta |sn13.9
sn13.10:0.3|Dutiyapabbatasutta |sn13.10
sn13.11:0.3|Tatiyapabbatasutta |sn13.11
sn14.1:0.3|Dhātunānattasutta |sn14.1
sn14.2:0.3|Phassanānattasutta |sn14.2
sn14.3:0.3|Nophassanānattasutta |sn14.3
sn14.4:0.3|Vedanānānattasutta |sn14.4
sn14.5:0.3|Dutiyavedanānānattasutta |sn14.5
sn14.6:0.3|Bāhiradhātunānattasutta |sn14.6
sn14.7:0.3|Saññānānattasutta |sn14.7
sn14.8:0.3|Nopariyesanānānattasutta |sn14.8
sn14.9:0.3|Bāhiraphassanānattasutta |sn14.9
sn14.10:0.3|Dutiyabāhiraphassanānattasutta |sn14.10
sn14.11:0.3|Sattadhātusutta |sn14.11
sn14.12:0.3|Sanidānasutta |sn14.12
sn14.13:0.3|Giñjakāvasathasutta |sn14.13
sn14.14:0.3|Hīnādhimuttikasutta |sn14.14
sn14.15:0.3|Caṅkamasutta |sn14.15
sn14.16:0.3|Sagāthāsutta |sn14.16
sn14.17:0.3|Assaddhasaṁsandanasutta |sn14.17
sn14.18:0.3|Assaddhamūlakasutta |sn14.18
sn14.19:0.3|Ahirikamūlakasutta |sn14.19
sn14.20:0.3|Anottappamūlakasutta |sn14.20
sn14.21:0.3|Appassutamūlakasutta |sn14.21
sn14.22:0.3|Kusītamūlakasutta |sn14.22
sn14.23:0.3|Asamāhitasutta |sn14.23
sn14.24:0.3|Dussīlasutta |sn14.24
sn14.25:0.3|Pañcasikkhāpadasutta |sn14.25
sn14.26:0.3|Sattakammapathasutta |sn14.26
sn14.27:0.3|Dasakammapathasutta |sn14.27
sn14.28:0.3|Aṭṭhaṅgikasutta |sn14.28
sn14.29:0.3|Dasaṅgasutta |sn14.29
sn14.30:0.3|Catudhātusutta |sn14.30
sn14.31:0.3|Pubbesambodhasutta |sn14.31
sn14.32:0.3|Acariṁsutta |sn14.32
sn14.33:0.3|Nocedaṁsutta |sn14.33
sn14.34:0.3|Ekantadukkhasutta |sn14.34
sn14.35:0.3|Abhinandasutta |sn14.35
sn14.36:0.3|Uppādasutta |sn14.36
sn14.37:0.3|Samaṇabrāhmaṇasutta |sn14.37
sn14.38:0.3|Dutiyasamaṇabrāhmaṇasutta |sn14.38
sn14.39:0.3|Tatiyasamaṇabrāhmaṇasutta |sn14.39
sn15.1:0.3|Tiṇakaṭṭhasutta |sn15.1
sn15.2:0.3|Pathavīsutta |sn15.2
sn15.3:0.3|Assusutta |sn15.3
sn15.4:0.3|Khīrasutta |sn15.4
sn15.5:0.3|Pabbatasutta |sn15.5
sn15.6:0.3|Sāsapasutta |sn15.6
sn15.7:0.3|Sāvakasutta |sn15.7
sn15.8:0.3|Gaṅgāsutta |sn15.8
sn15.9:0.3|Daṇḍasutta |sn15.9
sn15.10:0.3|Puggalasutta |sn15.10
sn15.11:0.3|Duggatasutta |sn15.11
sn15.12:0.3|Sukhitasutta |sn15.12
sn15.13:0.3|Tiṁsamattasutta |sn15.13
sn15.14:0.3|Mātusutta |sn15.14
sn15.15:0.3|Pitusutta |sn15.15
sn15.16:0.3|Bhātusutta |sn15.16
sn15.17:0.3|Bhaginisutta |sn15.17
sn15.18:0.3|Puttasutta |sn15.18
sn15.19:0.3|Dhītusutta |sn15.19
sn15.20:0.3|Vepullapabbatasutta |sn15.20
sn16.1:0.3|Santuṭṭhasutta |sn16.1
sn16.2:0.3|Anottappīsutta |sn16.2
sn16.3:0.3|Candūpamāsutta |sn16.3
sn16.4:0.3|Kulūpakasutta |sn16.4
sn16.5:0.3|Jiṇṇasutta |sn16.5
sn16.6:0.3|Ovādasutta |sn16.6
sn16.7:0.3|Dutiyaovādasutta |sn16.7
sn16.8:0.3|Tatiyaovādasutta |sn16.8
sn16.9:0.3|Jhānābhiññasutta |sn16.9
sn16.10:0.3|Upassayasutta |sn16.10
sn16.11:0.3|Cīvarasutta |sn16.11
sn16.12:0.3|Paraṁmaraṇasutta |sn16.12
sn16.13:0.3|Saddhammappatirūpakasutta |sn16.13
sn17.1:0.3|Dāruṇasutta |sn17.1
sn17.2:0.3|Baḷisasutta |sn17.2
sn17.3:0.3|Kummasutta |sn17.3
sn17.4:0.3|Dīghalomikasutta |sn17.4
sn17.5:0.3|Mīḷhakasutta |sn17.5
sn17.6:0.3|Asanisutta |sn17.6
sn17.7:0.3|Diddhasutta |sn17.7
sn17.8:0.3|Siṅgālasutta |sn17.8
sn17.9:0.3|Verambhasutta |sn17.9
sn17.10:0.3|Sagāthakasutta |sn17.10
sn17.11:0.3|Suvaṇṇapātisutta |sn17.11
sn17.12:0.3|Rūpiyapātisutta |sn17.12
sn17.21:0.3|Mātugāmasutta |sn17.21
sn17.22:0.3|Kalyāṇīsutta |sn17.22
sn17.23:0.3|Ekaputtakasutta |sn17.23
sn17.24:0.3|Ekadhītusutta |sn17.24
sn17.25:0.3|Samaṇabrāhmaṇasutta |sn17.25
sn17.26:0.3|Dutiyasamaṇabrāhmaṇasutta |sn17.26
sn17.27:0.3|Tatiyasamaṇabrāhmaṇasutta |sn17.27
sn17.28:0.3|Chavisutta |sn17.28
sn17.29:0.3|Rajjusutta |sn17.29
sn17.30:0.3|Bhikkhusutta |sn17.30
sn17.31:0.3|Bhindisutta |sn17.31
sn17.32:0.3|Kusalamūlasutta |sn17.32
sn17.33:0.3|Kusaladhammasutta |sn17.33
sn17.34:0.3|Sukkadhammasutta |sn17.34
sn17.35:0.3|Acirapakkantasutta |sn17.35
sn17.36:0.3|Pañcarathasatasutta |sn17.36
sn17.37:0.3|Mātusutta |sn17.37
sn18.1:0.3|Cakkhusutta |sn18.1
sn18.2:0.3|Rūpasutta |sn18.2
sn18.3:0.3|Viññāṇasutta |sn18.3
sn18.4:0.3|Samphassasutta |sn18.4
sn18.5:0.3|Vedanāsutta |sn18.5
sn18.6:0.3|Saññāsutta |sn18.6
sn18.7:0.3|Sañcetanāsutta |sn18.7
sn18.8:0.3|Taṇhāsutta |sn18.8
sn18.9:0.3|Dhātusutta |sn18.9
sn18.10:0.3|Khandhasutta |sn18.10
sn18.11:0.3|Cakkhusutta |sn18.11
sn18.12-20:0.3|Rūpādisuttanavaka |sn18.12-20
sn18.21:0.3|Anusayasutta |sn18.21
sn18.22:0.3|Apagatasutta |sn18.22
sn19.1:0.3|Aṭṭhisutta |sn19.1
sn19.2:0.3|Pesisutta |sn19.2
sn19.3:0.3|Piṇḍasutta |sn19.3
sn19.4:0.3|Nicchavisutta |sn19.4
sn19.5:0.3|Asilomasutta |sn19.5
sn19.6:0.3|Sattisutta |sn19.6
sn19.7:0.3|Usulomasutta |sn19.7
sn19.8:0.3|Sūcilomasutta |sn19.8
sn19.9:0.3|Dutiyasūcilomasutta |sn19.9
sn19.10:0.3|Kumbhaṇḍasutta |sn19.10
sn19.11:0.3|Sasīsakasutta |sn19.11
sn19.12:0.3|Gūthakhādasutta |sn19.12
sn19.13:0.3|Nicchavitthisutta |sn19.13
sn19.14:0.3|Maṅgulitthisutta |sn19.14
sn19.15:0.3|Okilinīsutta |sn19.15
sn19.16:0.3|Asīsakasutta |sn19.16
sn19.17:0.3|Pāpabhikkhusutta |sn19.17
sn19.18:0.3|Pāpabhikkhunīsutta |sn19.18
sn19.19:0.3|Pāpasikkhamānasutta |sn19.19
sn19.20:0.3|Pāpasāmaṇerasutta |sn19.20
sn19.21:0.3|Pāpasāmaṇerīsutta |sn19.21
sn20.1:0.3|Kūṭasutta |sn20.1
sn20.2:0.3|Nakhasikhasutta |sn20.2
sn20.3:0.3|Kulasutta |sn20.3
sn20.4:0.3|Okkhāsutta |sn20.4
sn20.5:0.3|Sattisutta |sn20.5
sn20.6:0.3|Dhanuggahasutta |sn20.6
sn20.7:0.3|Āṇisutta |sn20.7
sn20.8:0.3|Kaliṅgarasutta |sn20.8
sn20.9:0.3|Nāgasutta |sn20.9
sn20.10:0.3|Biḷārasutta |sn20.10
sn20.11:0.3|Siṅgālasutta |sn20.11
sn20.12:0.3|Dutiyasiṅgālasutta |sn20.12
sn21.1:0.3|Kolitasutta |sn21.1
sn21.2:0.3|Upatissasutta |sn21.2
sn21.3:0.3|Ghaṭasutta |sn21.3
sn21.4:0.3|Navasutta |sn21.4
sn21.5:0.3|Sujātasutta |sn21.5
sn21.6:0.3|Lakuṇḍakabhaddiyasutta |sn21.6
sn21.7:0.3|Visākhasutta |sn21.7
sn21.8:0.3|Nandasutta |sn21.8
sn21.9:0.3|Tissasutta |sn21.9
sn21.10:0.3|Theranāmakasutta |sn21.10
sn21.11:0.3|Mahākappinasutta |sn21.11
sn21.12:0.3|Sahāyakasutta |sn21.12
sn22.1:0.3|Nakulapitusutta |sn22.1
sn22.2:0.3|Devadahasutta |sn22.2
sn22.3:0.3|Hāliddikānisutta |sn22.3
sn22.4:0.3|Dutiyahāliddikānisutta |sn22.4
sn22.5:0.3|Samādhisutta |sn22.5
sn22.6:0.3|Paṭisallāṇasutta |sn22.6
sn22.7:0.3|Upādāparitassanāsutta |sn22.7
sn22.8:0.3|Dutiyaupādāparitassanāsutta |sn22.8
sn22.9:0.3|Kālattayaaniccasutta |sn22.9
sn22.10:0.3|Kālattayadukkhasutta |sn22.10
sn22.11:0.3|Kālattayaanattasutta |sn22.11
sn22.12:0.3|Aniccasutta |sn22.12
sn22.13:0.3|Dukkhasutta |sn22.13
sn22.14:0.3|Anattasutta |sn22.14
sn22.15:0.3|Yadaniccasutta |sn22.15
sn22.16:0.3|Yaṁdukkhasutta |sn22.16
sn22.17:0.3|Yadanattāsutta |sn22.17
sn22.18:0.3|Sahetuaniccasutta |sn22.18
sn22.19:0.3|Sahetudukkhasutta |sn22.19
sn22.20:0.3|Sahetuanattasutta |sn22.20
sn22.21:0.3|Ānandasutta |sn22.21
sn22.22:0.3|Bhārasutta |sn22.22
sn22.23:0.3|Pariññasutta |sn22.23
sn22.24:0.3|Abhijānasutta |sn22.24
sn22.25:0.3|Chandarāgasutta |sn22.25
sn22.26:0.3|Assādasutta |sn22.26
sn22.27:0.3|Dutiyaassādasutta |sn22.27
sn22.28:0.3|Tatiyaassādasutta |sn22.28
sn22.29:0.3|Abhinandanasutta |sn22.29
sn22.30:0.3|Uppādasutta |sn22.30
sn22.31:0.3|Aghamūlasutta |sn22.31
sn22.32:0.3|Pabhaṅgusutta |sn22.32
sn22.33:0.3|Natumhākasutta |sn22.33
sn22.34:0.3|Dutiyanatumhākasutta |sn22.34
sn22.35:0.3|Aññatarabhikkhusutta |sn22.35
sn22.36:0.3|Dutiyaaññatarabhikkhusutta |sn22.36
sn22.37:0.3|Ānandasutta |sn22.37
sn22.38:0.3|Dutiyaānandasutta |sn22.38
sn22.39:0.3|Anudhammasutta |sn22.39
sn22.40:0.3|Dutiyaanudhammasutta |sn22.40
sn22.41:0.3|Tatiyaanudhammasutta |sn22.41
sn22.42:0.3|Catutthaanudhammasutta |sn22.42
sn22.43:0.3|Attadīpasutta |sn22.43
sn22.44:0.3|Paṭipadāsutta |sn22.44
sn22.45:0.3|Aniccasutta |sn22.45
sn22.46:0.3|Dutiyaaniccasutta |sn22.46
sn22.47:0.3|Samanupassanāsutta |sn22.47
sn22.48:0.3|Khandhasutta |sn22.48
sn22.49:0.3|Soṇasutta |sn22.49
sn22.50:0.3|Dutiyasoṇasutta |sn22.50
sn22.51:0.3|Nandikkhayasutta |sn22.51
sn22.52:0.3|Dutiyanandikkhayasutta |sn22.52
sn22.53:0.3|Upayasutta |sn22.53
sn22.54:0.3|Bījasutta |sn22.54
sn22.55:0.3|Udānasutta |sn22.55
sn22.56:0.3|Upādānaparipavattasutta |sn22.56
sn22.57:0.3|Sattaṭṭhānasutta |sn22.57
sn22.58:0.3|Sammāsambuddhasutta |sn22.58
sn22.59:0.3|Anattalakkhaṇasutta |sn22.59
sn22.60:0.3|Mahālisutta |sn22.60
sn22.61:0.3|Ādittasutta |sn22.61
sn22.62:0.3|Niruttipathasutta |sn22.62
sn22.63:0.3|Upādiyamānasutta |sn22.63
sn22.64:0.3|Maññamānasutta |sn22.64
sn22.65:0.3|Abhinandamānasutta |sn22.65
sn22.66:0.3|Aniccasutta |sn22.66
sn22.67:0.3|Dukkhasutta |sn22.67
sn22.68:0.3|Anattasutta |sn22.68
sn22.69:0.3|Anattaniyasutta |sn22.69
sn22.70:0.3|Rajanīyasaṇṭhitasutta |sn22.70
sn22.71:0.3|Rādhasutta |sn22.71
sn22.72:0.3|Surādhasutta |sn22.72
sn22.73:0.3|Assādasutta |sn22.73
sn22.74:0.3|Samudayasutta |sn22.74
sn22.75:0.3|Dutiyasamudayasutta |sn22.75
sn22.76:0.3|Arahantasutta |sn22.76
sn22.77:0.3|Dutiyaarahantasutta |sn22.77
sn22.78:0.3|Sīhasutta |sn22.78
sn22.79:0.3|Khajjanīyasutta |sn22.79
sn22.80:0.3|Piṇḍolyasutta |sn22.80
sn22.81:0.3|Pālileyyasutta |sn22.81
sn22.82:0.3|Puṇṇamasutta |sn22.82
sn22.83:0.3|Ānandasutta |sn22.83
sn22.84:0.3|Tissasutta |sn22.84
sn22.85:0.3|Yamakasutta |sn22.85
sn22.86:0.3|Anurādhasutta |sn22.86
sn22.87:0.3|Vakkalisutta |sn22.87
sn22.88:0.3|Assajisutta |sn22.88
sn22.89:0.3|Khemakasutta |sn22.89
sn22.90:0.3|Channasutta |sn22.90
sn22.91:0.3|Rāhulasutta |sn22.91
sn22.92:0.3|Dutiyarāhulasutta |sn22.92
sn22.93:0.3|Nadīsutta |sn22.93
sn22.94:0.3|Pupphasutta |sn22.94
sn22.95:0.3|Pheṇapiṇḍūpamasutta |sn22.95
sn22.96:0.3|Gomayapiṇḍasutta |sn22.96
sn22.97:0.3|Nakhasikhāsutta |sn22.97
sn22.98:0.3|Suddhikasutta |sn22.98
sn22.99:0.3|Gaddulabaddhasutta |sn22.99
sn22.100:0.3|Dutiyagaddulabaddhasutta |sn22.100
sn22.101:0.3|Vāsijaṭasutta |sn22.101
sn22.102:0.3|Aniccasaññāsutta |sn22.102
sn22.103:0.3|Antasutta |sn22.103
sn22.104:0.3|Dukkhasutta |sn22.104
sn22.105:0.3|Sakkāyasutta |sn22.105
sn22.106:0.3|Pariññeyyasutta |sn22.106
sn22.107:0.3|Samaṇasutta |sn22.107
sn22.108:0.3|Dutiyasamaṇasutta |sn22.108
sn22.109:0.3|Sotāpannasutta |sn22.109
sn22.110:0.3|Arahantasutta |sn22.110
sn22.111:0.3|Chandappahānasutta |sn22.111
sn22.112:0.3|Dutiyachandappahānasutta |sn22.112
sn22.113:0.3|Avijjāsutta |sn22.113
sn22.114:0.3|Vijjāsutta |sn22.114
sn22.115:0.3|Dhammakathikasutta |sn22.115
sn22.116:0.3|Dutiyadhammakathikasutta |sn22.116
sn22.117:0.3|Bandhanasutta |sn22.117
sn22.118:0.3|Paripucchitasutta |sn22.118
sn22.119:0.3|Dutiyaparipucchitasutta |sn22.119
sn22.120:0.3|Saṁyojaniyasutta |sn22.120
sn22.121:0.3|Upādāniyasutta |sn22.121
sn22.122:0.3|Sīlavantasutta |sn22.122
sn22.123:0.3|Sutavantasutta |sn22.123
sn22.124:0.3|Kappasutta |sn22.124
sn22.125:0.3|Dutiyakappasutta |sn22.125
sn22.126:0.3|Samudayadhammasutta |sn22.126
sn22.127:0.3|Dutiyasamudayadhammasutta |sn22.127
sn22.128:0.3|Tatiyasamudayadhammasutta |sn22.128
sn22.129:0.3|Assādasutta |sn22.129
sn22.130:0.3|Dutiyaassādasutta |sn22.130
sn22.131:0.3|Samudayasutta |sn22.131
sn22.132:0.3|Dutiyasamudayasutta |sn22.132
sn22.133:0.3|Koṭṭhikasutta |sn22.133
sn22.134:0.3|Dutiyakoṭṭhikasutta |sn22.134
sn22.135:0.3|Tatiyakoṭṭhikasutta |sn22.135
sn22.136:0.3|Kukkuḷasutta |sn22.136
sn22.137:0.3|Aniccasutta |sn22.137
sn22.138:0.3|Dutiyaaniccasutta |sn22.138
sn22.139:0.3|Tatiyaaniccasutta |sn22.139
sn22.140:0.3|Dukkhasutta |sn22.140
sn22.141:0.3|Dutiyadukkhasutta |sn22.141
sn22.142:0.3|Tatiyadukkhasutta |sn22.142
sn22.143:0.3|Anattasutta |sn22.143
sn22.144:0.3|Dutiyaanattasutta |sn22.144
sn22.145:0.3|Tatiyaanattasutta |sn22.145
sn22.146:0.3|Nibbidābahulasutta |sn22.146
sn22.147:0.3|Aniccānupassīsutta |sn22.147
sn22.148:0.3|Dukkhānupassīsutta |sn22.148
sn22.149:0.3|Anattānupassīsutta |sn22.149
